season,episode,title,rating,votes,is_finale,season_avg,final_ep,release_date,ep_runtime,previous_ep_rate
1,1,The vanishing of Will Byers,8.5,36000,FALSE,8.78,FALSE,15/07/2016,49,
1,2,The weirdo on Maple Street,8.3,31000,FALSE,8.78,FALSE,15/07/2016,56,8.5
1,3,Holly jolly,8.8,31000,FALSE,8.78,FALSE,15/07/2016,52,8.3
1,4,The Body,8.9,3100,FALSE,8.78,FALSE,15/07/2016,51,8.8
1,5,The Flea and the Acrobat,8.6,29000,FALSE,8.78,FALSE,15/07/2016,53,8.9
1,6,The Monster,8.8,29000,FALSE,8.78,FALSE,15/07/2016,47,8.6
1,7,The Bathtub,9,30000,FALSE,8.78,FALSE,15/07/2016,43,8.8
1,8,The Upside Down,9.3,35000,FALSE,8.78,TRUE,15/07/2016,55,9
2,1,Madmax,8.1,28000,FALSE,8.46,FALSE,27/10/2017,49,9.3
2,2,Trick or Treat freak,8.2,26000,FALSE,8.46,FALSE,27/10/2017,56,
2,3,The Pollywog,8.5,26000,FALSE,8.46,FALSE,27/10/2017,51,8.1
2,4,will the wise,8.5,25000,FALSE,8.46,FALSE,27/10/2017,47,8.2
2,5,Dig Dug,8.8,26000,FALSE,8.46,FALSE,27/10/2017,59,8.5
2,6,the spy,9.1,28000,FALSE,8.46,FALSE,27/10/2017,52,8.5
2,7,The Lost sister,6,38000,FALSE,8.46,FALSE,27/10/2017,46,8.8
2,8,The Mind flayer,9.2,30000,FALSE,8.46,FALSE,27/10/2017,48,9.1
2,9,The Gate,9.3,33000,FALSE,8.46,TRUE,27/10/2017,62,6
3,1,Suzie Do you Copy?,7.8,29000,FALSE,8.46,FALSE,4/7/2019,51,
3,2,The mall Rats,7.9,27000,FALSE,8.46,FALSE,4/7/2019,50,7.8
3,3,The Case of missing Lifeguard,8.2,26000,FALSE,8.46,FALSE,4/7/2019,50,7.9
3,4,The Suana Test,8.9,28000,FALSE,8.46,FALSE,4/7/2019,53,8.2
3,5,The Flayed,8.5,25000,FALSE,8.46,FALSE,4/7/2019,52,8.9
3,6,E pluribus Unum,8.5,25000,FALSE,8.46,FALSE,4/7/2019,60,8.5
3,7,The Bite,8.7,26000,FALSE,8.46,FALSE,4/7/2019,55,8.5
3,8,The Battle of Starcourt,9.2,38000,FALSE,8.46,TRUE,4/7/2019,78,8.7
4,1,The Hellfire Club,8.1,30000,FALSE,8.77,FALSE,27/05/2022,78,
4,2,Vecna's Curse,8.1,27000,FALSE,8.77,FALSE,27/05/2022,78,8.1
4,3,The Monster and the Superhero,8.3,26000,FALSE,8.77,FALSE,27/05/2022,65,8.1
4,4,Dear Billy,9.5,48000,FALSE,8.77,FALSE,27/05/2022,79,8.3
4,5,The Nina Project,8.1,25000,FALSE,8.77,FALSE,27/05/2022,77,9.5
4,6,The Dive,8.5,26000,FALSE,8.77,FALSE,27/05/2022,75,8.1
4,7,The Massacre at Hawkins Lab,9.6,51000,FALSE,8.77,FALSE,27/05/2022,101,8.5
4,8,Papa,8.6,28000,FALSE,8.77,FALSE,1/7/2022,87,9.6
4,9,The Piggyback,9.1,41000,FALSE,8.77,TRUE,1/7/2022,142,8.6
5,1,The Crawl,8.2,24000,TRUE,8.9,FALSE,26/11/2025,68,
5,2,The Vanishing of Holly wheeler,8.7,22000,TRUE,8.9,FALSE,26/11/2025,54,
5,3,The Turnbow Trap,9,21000,TRUE,8.9,FALSE,26/11/2025,66,8.2
5,4,sorcerer,9.7,33000,TRUE,8.9,FALSE,26/11/2025,83,8.7
5,5,Shock jock,,,TRUE,,FALSE,25/12/2025,77,9
5,6,Escape from camazotz,,,TRUE,,FALSE,25/12/2025,58,9.7
5,7,The Bridge,,,TRUE,,FALSE,25/12/2025,97,
5,8,The Rightside Up,,,TRUE,,TRUE,31/12/2025,121,
